net,type,channel,lane,x_um,y_um
bond_ch0_lane0,signal,0,0,120.0,120.0
bond_ch0_lane1,signal,0,1,120.0,129.0
bond_ch0_lane2,signal,0,2,120.0,138.0
bond_ch0_lane3,signal,0,3,120.0,147.0
VDD_BOND,power,0,-1,124.5,124.5
VSS_BOND,power,0,-1,124.5,133.5
VDD_BOND,power,0,-1,124.5,142.5
VSS_BOND,power,0,-1,124.5,151.5
bond_ch0_lane4,signal,0,4,129.0,120.0
bond_ch0_lane5,signal,0,5,129.0,129.0
bond_ch0_lane6,signal,0,6,129.0,138.0
bond_ch0_lane7,signal,0,7,129.0,147.0
bond_ch0_lane8,signal,0,8,138.0,120.0
bond_ch0_lane9,signal,0,9,138.0,129.0
bond_ch0_lane10,signal,0,10,138.0,138.0
bond_ch0_lane11,signal,0,11,138.0,147.0
bond_ch0_lane12,signal,0,12,147.0,120.0
bond_ch0_lane13,signal,0,13,147.0,129.0
bond_ch0_lane14,signal,0,14,147.0,138.0
bond_ch0_lane15,signal,0,15,147.0,147.0
VDD_BOND,power,0,-1,151.5,124.5
VSS_BOND,power,0,-1,151.5,133.5
VDD_BOND,power,0,-1,151.5,142.5
VSS_BOND,power,0,-1,151.5,151.5
bond_ch0_lane16,signal,0,16,156.0,120.0
bond_ch0_lane17,signal,0,17,156.0,129.0
bond_ch0_lane18,signal,0,18,156.0,138.0
bond_ch0_lane19,signal,0,19,156.0,147.0
bond_ch0_lane20,signal,0,20,165.0,120.0
bond_ch0_lane21,signal,0,21,165.0,129.0
bond_ch0_lane22,signal,0,22,165.0,138.0
bond_ch0_lane23,signal,0,23,165.0,147.0
bond_ch0_lane24,signal,0,24,174.0,120.0
bond_ch0_lane25,signal,0,25,174.0,129.0
bond_ch0_lane26,signal,0,26,174.0,138.0
bond_ch0_lane27,signal,0,27,174.0,147.0
bond_ch0_lane28,signal,0,28,183.0,120.0
bond_ch0_lane29,signal,0,29,183.0,129.0
bond_ch0_lane30,signal,0,30,183.0,138.0
bond_ch0_lane31,signal,0,31,183.0,147.0
VDD_BOND,power,0,-1,187.5,124.5
VSS_BOND,power,0,-1,187.5,133.5
VDD_BOND,power,0,-1,187.5,142.5
VSS_BOND,power,0,-1,187.5,151.5
bond_ch0_lane32,signal,0,32,192.0,120.0
bond_ch0_lane33,signal,0,33,192.0,129.0
bond_ch0_lane34,signal,0,34,192.0,138.0
bond_ch0_lane35,signal,0,35,192.0,147.0
bond_ch0_lane36,signal,0,36,201.0,120.0
bond_ch0_lane37,signal,0,37,201.0,129.0
bond_ch0_lane38,signal,0,38,201.0,138.0
