net,type,channel,lane,x_um,y_um
bond_ch0_lane0,signal,0,0,3270.0,120.0
bond_ch0_lane1,signal,0,1,3270.0,129.0
bond_ch0_lane2,signal,0,2,3270.0,138.0
bond_ch0_lane3,signal,0,3,3270.0,147.0
VDD_BOND,power,0,-1,3265.5,124.5
VSS_BOND,power,0,-1,3265.5,133.5
VDD_BOND,power,0,-1,3265.5,142.5
VSS_BOND,power,0,-1,3265.5,151.5
bond_ch0_lane4,signal,0,4,3261.0,120.0
bond_ch0_lane5,signal,0,5,3261.0,129.0
bond_ch0_lane6,signal,0,6,3261.0,138.0
bond_ch0_lane7,signal,0,7,3261.0,147.0
bond_ch0_lane8,signal,0,8,3252.0,120.0
bond_ch0_lane9,signal,0,9,3252.0,129.0
bond_ch0_lane10,signal,0,10,3252.0,138.0
bond_ch0_lane11,signal,0,11,3252.0,147.0
bond_ch0_lane12,signal,0,12,3243.0,120.0
bond_ch0_lane13,signal,0,13,3243.0,129.0
bond_ch0_lane14,signal,0,14,3243.0,138.0
bond_ch0_lane15,signal,0,15,3243.0,147.0
VDD_BOND,power,0,-1,3238.5,124.5
VSS_BOND,power,0,-1,3238.5,133.5
VDD_BOND,power,0,-1,3238.5,142.5
VSS_BOND,power,0,-1,3238.5,151.5
bond_ch0_lane16,signal,0,16,3234.0,120.0
bond_ch0_lane17,signal,0,17,3234.0,129.0
bond_ch0_lane18,signal,0,18,3234.0,138.0
bond_ch0_lane19,signal,0,19,3234.0,147.0
bond_ch0_lane20,signal,0,20,3225.0,120.0
bond_ch0_lane21,signal,0,21,3225.0,129.0
bond_ch0_lane22,signal,0,22,3225.0,138.0
bond_ch0_lane23,signal,0,23,3225.0,147.0
bond_ch0_lane24,signal,0,24,3216.0,120.0
bond_ch0_lane25,signal,0,25,3216.0,129.0
bond_ch0_lane26,signal,0,26,3216.0,138.0
bond_ch0_lane27,signal,0,27,3216.0,147.0
bond_ch0_lane28,signal,0,28,3207.0,120.0
bond_ch0_lane29,signal,0,29,3207.0,129.0
bond_ch0_lane30,signal,0,30,3207.0,138.0
bond_ch0_lane31,signal,0,31,3207.0,147.0
VDD_BOND,power,0,-1,3202.5,124.5
VSS_BOND,power,0,-1,3202.5,133.5
VDD_BOND,power,0,-1,3202.5,142.5
VSS_BOND,power,0,-1,3202.5,151.5
bond_ch0_lane32,signal,0,32,3198.0,120.0
bond_ch0_lane33,signal,0,33,3198.0,129.0
bond_ch0_lane34,signal,0,34,3198.0,138.0
bond_ch0_lane35,signal,0,35,3198.0,147.0
bond_ch0_lane36,signal,0,36,3189.0,120.0
bond_ch0_lane37,signal,0,37,3189.0,129.0
bond_ch0_lane38,signal,0,38,3189.0,138.0
bond_ch0_lane39,signal,0,39,3189.0,147.0
bond_ch0_lane40,signal,0,40,3180.0,120.0
bond_ch0_lane41,signal,0,41,3180.0,129.0
bond_ch0_lane42,signal,0,42,3180.0,138.0
bond_ch0_lane43,signal,0,43,3180.0,147.0
bond_ch0_lane44,signal,0,44,3171.0,120.0
bond_ch0_lane45,signal,0,45,3171.0,129.0
bond_ch0_lane46,signal,0,46,3171.0,138.0
bond_ch0_lane47,signal,0,47,3171.0,147.0
VDD_BOND,power,0,-1,3166.5,124.5
VSS_BOND,power,0,-1,3166.5,133.5
VDD_BOND,power,0,-1,3166.5,142.5
VSS_BOND,power,0,-1,3166.5,151.5
bond_ch0_lane48,signal,0,48,3162.0,120.0
bond_ch0_lane49,signal,0,49,3162.0,129.0
bond_ch0_lane50,signal,0,50,3162.0,138.0
bond_ch0_lane51,signal,0,51,3162.0,147.0
bond_ch0_lane52,signal,0,52,3153.0,120.0
bond_ch0_lane53,signal,0,53,3153.0,129.0
bond_ch0_lane54,signal,0,54,3153.0,138.0
bond_ch0_lane55,signal,0,55,3153.0,147.0
bond_ch0_lane56,signal,0,56,3144.0,120.0
bond_ch0_lane57,signal,0,57,3144.0,129.0
bond_ch0_lane58,signal,0,58,3144.0,138.0
bond_ch0_lane59,signal,0,59,3144.0,147.0
bond_ch0_lane60,signal,0,60,3135.0,120.0
bond_ch0_lane61,signal,0,61,3135.0,129.0
bond_ch0_lane62,signal,0,62,3135.0,138.0
bond_ch0_lane63,signal,0,63,3135.0,147.0
VDD_BOND,power,0,-1,3130.5,124.5
VSS_BOND,power,0,-1,3130.5,133.5
VDD_BOND,power,0,-1,3130.5,142.5
